rule	case	label	expected_findings
CG001	direct	positive	1
CG001	macro	positive	1
CG001	template	positive	1
CG001	user_function	negative	0
CG001	member	negative	0
CG001	bounded	negative	0
CG001	unevaluated	negative	0
CG001	discarded	negative	0
CG001	indirect	positive	0
CG002	index	positive	1
CG002	negative	positive	1
CG002	macro	positive	1
CG002	template	positive	1
CG002	valid	negative	0
CG002	one_past	negative	0
CG002	sizeof	negative	0
CG002	template_valid	negative	0
CG002	runtime_index	positive	0
CG003	if	positive	1
CG003	while	positive	1
CG003	macro	positive	1
CG003	template	positive	1
CG003	parenthesized	negative	0
CG003	comparison	negative	0
CG003	for_step	negative	0
CG003	macro_intentional	negative	0
CG003	nested_assignment	negative	0
CG004	local	positive	1
CG004	array	positive	1
CG004	macro	positive	1
CG004	template	positive	1
CG004	static	negative	0
CG004	reference	negative	0
CG004	caller_pointer	negative	0
CG004	heap	negative	0
CG004	alias	positive	0
CG005	literal	positive	1
CG005	arrow	positive	1
CG005	macro	positive	1
CG005	template	positive	1
CG005	valid	negative	0
CG005	unevaluated	negative	0
CG005	address_cancel	negative	0
CG005	lambda	positive	1
CG005	alias	positive	0
